threshold,predicted_overdue,tp,fp,fn,precision,recall,f1
0.3,2795,947,1848,14,0.33881932021466904,0.9854318418314256,0.5042598509052183
0.31,2731,945,1786,16,0.34602709630172096,0.9833506763787722,0.5119176598049837
0.32,2687,942,1745,19,0.35057685150725715,0.9802289281997919,0.5164473684210527
0.33,2633,942,1691,19,0.3577668059248006,0.9802289281997919,0.5242070116861436
0.34,2578,939,1639,22,0.36423584173778123,0.9771071800208116,0.530658378072902
0.35,2527,936,1591,25,0.370399683419074,0.9739854318418314,0.536697247706422
0.36,2472,935,1537,26,0.3782362459546926,0.9729448491155047,0.5447130789397029
0.37,2417,933,1484,28,0.38601572196938355,0.9708636836628513,0.5523978685612788
0.38,2364,931,1433,30,0.39382402707275804,0.9687825182101977,0.56
0.39,2303,928,1375,33,0.4029526704298741,0.9656607700312175,0.5686274509803921
0.4,2264,926,1338,35,0.4090106007067138,0.963579604578564,0.5742635658914729
0.41,2217,923,1294,38,0.41632837167343256,0.9604578563995838,0.5808684707363121
0.42,2177,922,1255,39,0.42351860358291227,0.959417273673257,0.5876354365838113
0.43,2129,919,1210,42,0.4316580554250822,0.9562955254942768,0.594822006472492
0.44,2086,912,1174,49,0.43720038350910834,0.9490114464099896,0.5986215950114867
0.45,2040,909,1131,52,0.4455882352941177,0.9458896982310093,0.6057980673108964
0.46,2009,904,1105,57,0.4499751119960179,0.9406867845993756,0.6087542087542087
0.47,1970,901,1069,60,0.4573604060913706,0.9375650364203955,0.6148072330262709
0.48,1938,898,1040,63,0.4633642930856553,0.9344432882414152,0.6195239737840634
0.49,1888,896,992,65,0.4745762711864407,0.9323621227887617,0.628992628992629
0.5,1862,895,967,66,0.4806659505907626,0.931321540062435,0.6340772228126107
0.51,1816,889,927,72,0.4895374449339207,0.9250780437044746,0.640259272596327
0.52,1785,884,901,77,0.49523809523809526,0.9198751300728408,0.6438455935906774
0.53,1748,877,871,84,0.5017162471395881,0.9125910509885536,0.6474713916574382
0.54,1713,872,841,89,0.5090484530064214,0.9073881373569199,0.6522064323111444
0.55,1674,863,811,98,0.515531660692951,0.8980228928199792,0.6550284629981025
0.56,1638,857,781,104,0.5231990231990232,0.8917793964620188,0.6594844170834937
0.57,1606,852,754,109,0.5305105853051059,0.886576482830385,0.6638098948188547
0.58,1564,847,717,114,0.5415601023017903,0.8813735691987513,0.6708910891089109
0.59,1523,836,687,125,0.5489166119500984,0.8699271592091571,0.6731078904991948
0.6,1494,833,661,128,0.5575635876840697,0.8668054110301769,0.6786150712830957
