threshold,predicted_overdue,tp,fp,fn,precision,recall,f1
0.3,2236,917,1319,44,0.41010733452593917,0.9542143600416233,0.5736628088833281
0.31,2194,916,1278,45,0.41750227894257064,0.9531737773152965,0.5806656101426307
0.32,2161,913,1248,48,0.4224895881536326,0.9500520291363164,0.5848814862267777
0.33,2122,908,1214,53,0.4278982092365693,0.9448491155046826,0.5890366526110931
0.34,2083,903,1180,58,0.43350936149783964,0.9396462018730489,0.5932982917214192
0.35,2042,896,1146,65,0.4387855044074437,0.9323621227887617,0.5967365967365967
0.36,2008,893,1115,68,0.4447211155378486,0.9292403746097815,0.6015493432132031
0.37,1976,892,1084,69,0.451417004048583,0.9281997918834547,0.6074225400068096
0.38,1941,890,1051,71,0.4585265327150953,0.9261186264308012,0.6133700895933839
0.39,1914,887,1027,74,0.46342737722048066,0.922996878251821,0.6170434782608696
0.4,1880,885,995,76,0.47074468085106386,0.9209157127991675,0.6230200633579726
0.41,1853,883,970,78,0.47652455477603883,0.918834547346514,0.6275764036958067
0.42,1834,879,955,82,0.4792802617230098,0.9146722164412071,0.6289803220035778
0.43,1811,876,935,85,0.48371065709552735,0.9115504682622269,0.6320346320346321
0.44,1792,871,921,90,0.48604910714285715,0.9063475546305931,0.632764257173992
0.45,1765,869,896,92,0.49235127478753543,0.9042663891779397,0.6375641966250917
0.46,1744,867,877,94,0.49713302752293576,0.9021852237252862,0.6410351201478743
0.47,1717,864,853,97,0.5032032615026208,0.899063475546306,0.6452576549663929
0.48,1699,863,836,98,0.5079458505002943,0.8980228928199792,0.6488721804511278
0.49,1673,859,814,102,0.5134488942020323,0.8938605619146722,0.6522399392558846
0.5,1653,857,796,104,0.5184513006654567,0.8917793964620188,0.6557000765110941
0.51,1628,852,776,109,0.5233415233415234,0.886576482830385,0.6581691772885284
0.52,1609,845,764,116,0.5251709136109385,0.8792924037460979,0.6575875486381323
0.53,1591,839,752,122,0.5273412947831553,0.8730489073881373,0.6575235109717869
0.54,1572,836,736,125,0.5318066157760815,0.8699271592091571,0.6600868535333596
0.55,1556,834,722,127,0.5359897172236504,0.8678459937565036,0.6626936829558999
0.56,1531,829,702,132,0.5414761593729589,0.8626430801248699,0.6653290529695024
0.57,1506,823,683,138,0.546480743691899,0.8563995837669095,0.6672071341710579
0.58,1487,819,668,142,0.550773369199731,0.8522372528616025,0.6691176470588235
0.59,1456,811,645,150,0.5570054945054945,0.8439125910509886,0.6710798510550269
0.6,1427,800,627,161,0.5606166783461808,0.8324661810613944,0.6700167504187605
