threshold,is_baseline,is_selected,predicted_overdue,tp,fp,fn,precision,recall,f1
0.300000,False,False,2795,947,1848,14,0.338819,0.985432,0.504260
0.310000,False,False,2731,945,1786,16,0.346027,0.983351,0.511918
0.320000,False,False,2687,942,1745,19,0.350577,0.980229,0.516447
0.330000,False,False,2633,942,1691,19,0.357767,0.980229,0.524207
0.340000,False,False,2578,939,1639,22,0.364236,0.977107,0.530658
0.350000,False,False,2527,936,1591,25,0.370400,0.973985,0.536697
0.360000,False,False,2472,935,1537,26,0.378236,0.972945,0.544713
0.370000,False,False,2417,933,1484,28,0.386016,0.970864,0.552398
0.380000,False,False,2364,931,1433,30,0.393824,0.968783,0.560000
0.390000,False,False,2303,928,1375,33,0.402953,0.965661,0.568627
0.400000,False,False,2264,926,1338,35,0.409011,0.963580,0.574264
0.410000,False,False,2217,923,1294,38,0.416328,0.960458,0.580868
0.420000,False,False,2177,922,1255,39,0.423519,0.959417,0.587635
0.430000,False,False,2129,919,1210,42,0.431658,0.956296,0.594822
0.440000,False,False,2086,912,1174,49,0.437200,0.949011,0.598622
0.450000,False,True,2040,909,1131,52,0.445588,0.945890,0.605798
0.460000,False,False,2009,904,1105,57,0.449975,0.940687,0.608754
0.470000,False,False,1970,901,1069,60,0.457360,0.937565,0.614807
0.480000,False,False,1938,898,1040,63,0.463364,0.934443,0.619524
0.490000,False,False,1888,896,992,65,0.474576,0.932362,0.628993
0.500000,True,False,1862,895,967,66,0.480666,0.931322,0.634077
0.510000,False,False,1816,889,927,72,0.489537,0.925078,0.640259
0.520000,False,False,1785,884,901,77,0.495238,0.919875,0.643846
0.530000,False,False,1748,877,871,84,0.501716,0.912591,0.647471
0.540000,False,False,1713,872,841,89,0.509048,0.907388,0.652206
0.550000,False,False,1674,863,811,98,0.515532,0.898023,0.655028
0.560000,False,False,1638,857,781,104,0.523199,0.891779,0.659484
0.570000,False,False,1606,852,754,109,0.530511,0.886576,0.663810
0.580000,False,False,1564,847,717,114,0.541560,0.881374,0.670891
0.590000,False,False,1523,836,687,125,0.548917,0.869927,0.673108
0.600000,False,False,1494,833,661,128,0.557564,0.866805,0.678615
