threshold,is_baseline,is_selected,predicted_overdue,tp,fp,fn,precision,recall,f1
0.300000,False,False,2236,917,1319,44,0.410107,0.954214,0.573663
0.310000,False,False,2194,916,1278,45,0.417502,0.953174,0.580666
0.320000,False,False,2161,913,1248,48,0.422490,0.950052,0.584881
0.330000,False,True,2122,908,1214,53,0.427898,0.944849,0.589037
0.340000,False,False,2083,903,1180,58,0.433509,0.939646,0.593298
0.350000,False,False,2042,896,1146,65,0.438786,0.932362,0.596737
0.360000,False,False,2008,893,1115,68,0.444721,0.929240,0.601549
0.370000,False,False,1976,892,1084,69,0.451417,0.928200,0.607423
0.380000,False,False,1941,890,1051,71,0.458527,0.926119,0.613370
0.390000,False,False,1914,887,1027,74,0.463427,0.922997,0.617043
0.400000,False,False,1880,885,995,76,0.470745,0.920916,0.623020
0.410000,False,False,1853,883,970,78,0.476525,0.918835,0.627576
0.420000,False,False,1834,879,955,82,0.479280,0.914672,0.628980
0.430000,False,False,1811,876,935,85,0.483711,0.911550,0.632035
0.440000,False,False,1792,871,921,90,0.486049,0.906348,0.632764
0.450000,False,False,1765,869,896,92,0.492351,0.904266,0.637564
0.460000,False,False,1744,867,877,94,0.497133,0.902185,0.641035
0.470000,False,False,1717,864,853,97,0.503203,0.899063,0.645258
0.480000,False,False,1699,863,836,98,0.507946,0.898023,0.648872
0.490000,False,False,1673,859,814,102,0.513449,0.893861,0.652240
0.500000,True,False,1653,857,796,104,0.518451,0.891779,0.655700
0.510000,False,False,1628,852,776,109,0.523342,0.886576,0.658169
0.520000,False,False,1609,845,764,116,0.525171,0.879292,0.657588
0.530000,False,False,1591,839,752,122,0.527341,0.873049,0.657524
0.540000,False,False,1572,836,736,125,0.531807,0.869927,0.660087
0.550000,False,False,1556,834,722,127,0.535990,0.867846,0.662694
0.560000,False,False,1531,829,702,132,0.541476,0.862643,0.665329
0.570000,False,False,1506,823,683,138,0.546481,0.856400,0.667207
0.580000,False,False,1487,819,668,142,0.550773,0.852237,0.669118
0.590000,False,False,1456,811,645,150,0.557005,0.843913,0.671080
0.600000,False,False,1427,800,627,161,0.560617,0.832466,0.670017
